Loaded: pid: 8, processName: process_8, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1473, currentLineOfInstruction: 32, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 138, processName: process_138, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1655, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 37, processName: process_37, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1990, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 8, processName: process_8, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1473, currentLineOfInstruction: 48, startTime: 1755609840, assignedCPUID: -1
Loaded: pid: 38, processName: process_38, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1036, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 140, processName: process_140, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1360, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 141, processName: process_141, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1430, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 142, processName: process_142, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1650, currentLineOfInstruction: 16, startTime: 1755609842, assignedCPUID: -1
Stored: pid: 38, processName: process_38, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1036, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 143, processName: process_143, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1186, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Stored: pid: 146, processName: process_146, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1755, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Loaded: pid: 9, processName: process_9, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1268, currentLineOfInstruction: 32, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 147, processName: process_147, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1839, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Stored: pid: 148, processName: process_148, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1068, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Loaded: pid: 39, processName: process_39, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1256, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 149, processName: process_149, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1946, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Stored: pid: 9, processName: process_9, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1268, currentLineOfInstruction: 48, startTime: 1755609840, assignedCPUID: -1
Stored: pid: 150, processName: process_150, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1560, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Loaded: pid: 40, processName: process_40, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1357, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 153, processName: process_153, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1785, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Stored: pid: 39, processName: process_39, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1256, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Loaded: pid: 41, processName: process_41, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1311, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 154, processName: process_154, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1733, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Stored: pid: 155, processName: process_155, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1692, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Stored: pid: 41, processName: process_41, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1311, currentLineOfInstruction: 32, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 159, processName: process_159, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1486, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Stored: pid: 160, processName: process_160, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1956, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Stored: pid: 162, processName: process_162, memoryFrameSize: 128, memorySize: 1024, linesOfCode: 1837, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
Loaded: pid: 44, processName: process_44, memoryFrameSize: 128, memorySize: 512, linesOfCode: 1378, currentLineOfInstruction: 16, startTime: 1755609841, assignedCPUID: -1
Stored: pid: 164, processName: process_164, memoryFrameSize: 128, memorySize: 256, linesOfCode: 1982, currentLineOfInstruction: 16, startTime: 1755609843, assignedCPUID: -1
